,FIPS,exposure1,exposure2,exposure3,exposure4
0,17019005402,2.661745806179212e-05,5.3968082360932014e-05,9.985146407550639e-05,0.0003257406600539857
0,17019005500,6.574739817150295e-05,0.00013330577966158186,0.0002464767175333598,0.0008041723754398814
0,17019005600,0.00015236407474183232,0.0003089249512641411,0.0005743186689000431,0.0018684671121199335
0,17019005701,8.884360178002073e-05,0.00018013436170257624,0.0003331929417541108,0.0010871834996187908
0,17019005702,3.375520637039297e-05,6.844018513257583e-05,0.0001265850791627413,0.0004130440558384291
0,17019005800,5.954459621766341e-05,0.00012072932228777007,0.00022332660678296563,0.0007287233956848539
0,17019005900,2.2844615618407478e-05,4.631847617965361e-05,8.739521833147799e-05,0.00028213105943988593
0,17019006000,1.3965253174469554e-05,2.8315173137922577e-05,5.3689424357185554e-05,0.00017333382634661775
0,17019010100,4.677372193113531e-05,9.483580556966563e-05,0.00017741400378276312,0.000574485516269892
0,17019010204,4.767891916764465e-05,9.667113330454605e-05,0.00018170892047082731,0.0005854160303188575
0,17019010300,2.670711769883203e-05,5.4149871270488705e-05,0.00010004136430524137,0.0003267604568629267
0,17019010400,2.7521316365966213e-05,5.580069535083686e-05,0.00010734415338495046,0.00034089662756479823
0,17019010500,3.8233061790738716e-05,7.751923654178838e-05,0.00014844963801308422,0.00047297062822861796
0,17019010601,0.000112553649553869,0.00022820754014321213,0.0004295350136034054,0.001379021714861759
0,17019010603,0.00017701039119470558,0.00035889645617397873,0.0006728531956565245,0.002177485146189859
0,17019010604,1.246024780323813e-05,2.526370768093936e-05,4.851190048186881e-05,0.0001547086584108024
0,17019010700,0.00016621843934302644,0.00033701529287827385,0.0006274992134072854,0.0020311279087036546
0,17019010800,2.532072592089618e-05,5.133890015963128e-05,9.493890226975246e-05,0.0003098975842299902
0,17019010900,0.00020484805742176476,0.00041533856496552365,0.000773605743964767,0.002503350482705212
0,17019011000,5.2245812836291993e-05,0.00010593071372995782,0.00019603639794554348,0.0006393529078270362
0,17019011100,5.567926861500467e-06,1.1289219832469312e-05,2.0891938831020985e-05,6.813694794304695e-05
0,17027900100,0.001462624471239233,0.00027104363974221276,0.000513300920146707,0.0016167011585908279
0,17027900200,0.00013798951761548773,2.557128082855413e-05,4.813963420930417e-05,0.0001525665755745015
0,17027900300,0.0020170238575007433,0.0003737811711304666,0.0007044538140178529,0.0022330051033262075
0,17027900401,2.6676559813540163e-05,4.943519002889781e-06,9.513857067331079e-06,3.0181802889528165e-05
0,17027900402,0.0006819472879137896,0.00012637384281686284,0.00023996821723850167,0.0007609095513912477
0,17027900500,0.0013570419195088389,0.00025147779787575587,0.00048271028265124206,0.0015453822388796375
